번호	뜻	한자	훈독	음독
577	찰 만	満	まん	みちる、みたす
578	늦을 만	晩	ばん	
579	오랑캐 만	蛮	ばん	
580	물굽이 만	湾	わん	
581	흩어질 만	漫	まん	
582	거만할 만	慢	まん	
583	끝 말	末	まつ、ばつ	すえ
584	지울 말	抹	まつ	
585	바랄 망	望	ぼう、もう	のぞむ
586	망할 망	亡	ぼう、もう	ない
587	잊을 망	忘	ぼう	わすれる
588	바쁠 망	忙	ぼう	いそがしい
589	망령될 망	妄	もう	
590	그물 망	網	もう	あみ
591	매양 매	毎	まい	
592	팔 매	売	ばい	うる、うれる
593	누이 매	妹	まい	いもうと
594	살 매	買	ばい	かう
595	매화 매	梅	ばい	うめ
596	낱 매	枚	まい	
597	어두울 매	昧	まい	
598	묻을 매	埋	まい	うめる、うまる、うもれる
599	중매 매	媒	ばい	
600	매혹할 매	魅	み	
601	꾸짖을 매	罵	ば	ののしる
602	보리 맥	麦	ばく	むぎ
603	줄기 맥	脈	みゃく	
604	맹세 맹	盟	めい	
605	소경/ 눈 멀 맹	盲	もう	
606	사나울 맹	猛	もう	
607	낮 면	面	めん	おも、おもて、つら
608	힘쓸 면	勉	べん	
609	솜 면	綿	めん	わた
610	면할 면	免	めん	まぬかれる
611	잘 면	眠	みん	ねむる、ねむい
612	밀가루 면	麺	めん	
613	꺼질/ 멸할 멸	滅	めつ	ほろびる、ほろぼす
614	업신여길 멸	蔑	べつ	さげすむ
615	이름 명	名	めい、みょう	な
616	밝을 명	明	みょう、めい	あかり、あかるい、あかるむ、あからむ、あきらか、あくる、あける、あく、あかす
617	울 명	鳴	めい	なる、なく、ならす
618	그릇 명	皿		さら
619	목숨 명	命	めい、みょう	いのち
620	어두울 명	冥	めい、みょう	
621	새길 명	銘	めい	
622	터럭 모	毛	もう	け
623	어머니 모	母	ぼ	はは
624	본뜰 모	模	も、ぼ	
625	저물 모	暮	ぼ	くれる、くらす
626	창 모	矛	む	ほこ
627	업신여길 모	侮	ぶ	あなどる
628	무릅쓸 모	冒	ぼう	おかす
629	아무 모	某	ぼう	
630	소모할 모	耗	もう、こう	へらす、へる
631	모을/뽑을 모	募	ぼ	つのる
632	모자 모	帽	ぼう	
633	그릴 모	慕	ぼ	したう
634	모양 모	貌	ぼう	かお、かたち
635	꾀 모	謀	ぼう、む	はかる
636	나무 목	木	もく、ぼく	き、こ
637	눈 목	目	もく、ぼく	め、ま
638	칠 목	牧	ぼく	まき
639	화목할 목	睦	ぼく	むつまじい
640	빠질 몰	没	ぼつ	
641	꿈 몽	夢	む	ゆめ
642	무덤 묘	墓	ぼ	はか
643	묘할 묘	妙	みょう	
644	모 묘	苗	びょう、みょう	なえ、なわ
645	이랑 묘	畝		うね、せ
646	그릴 묘	描	びょう	えがく、かく
647	고양이 묘	猫	びょう	ねこ
648	없을 무	無	む、ぶ	ない
649	호반 무	武	ぶ、む	
650	힘쓸 무	務	む	つとめる、つとまる
651	무역할 무	貿	ぼう	
652	무성할 무	茂	も	しげる
653	춤출 무	舞	ぶ	まう、まい
654	안개 무	霧	む	きり
655	먹 묵	墨	ぼく	すみ
656	잠잠할 묵	黙	もく	だまる
657	글월 문	文	ぶん、もん	ふみ
658	문 문	門	もん	かど
